Event ID,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Geographic Areas,NERC Region,Event Type,Alert Criteria,Demand Loss (MW),Number of Customers Affected,Number of Fatalities,Number of Injuries,Estimated Cost,oe417_source_year,oe417_source_sheet
OE417-2002-0001,2002-01-30 00:00:00,06:00:00,,,Oklahoma,SPP,Ice Storm,,500,1881134,,,,2002,2002
OE417-2002-0002,2002-01-29 00:00:00,Evening,,,Metropolitan Kansas City Area,SPP,Ice Storm,,500-600,270000,,,,2002,2002
OE417-2002-0003,2002-01-30 00:00:00,16:00:00,,,Missouri,SPP,Ice Storm,,210,95000,,,,2002,2002
OE417-2002-0004,2002-02-27 00:00:00,10:48:00,,,California,WSCC,Interruption of Firm Load,,300,255000,,,,2002,2002
OE417-2002-0005,2002-03-09 00:00:00,00:00:00,,,Lower Peninsula of Michigan,ECAR,Severe Weather,,190,190000,,,,2002,2002
OE417-2002-0006,2002-04-08 00:00:00,15:00:00,,,Arizona,WSCC,Vandalism/,,0,0,,,,2002,2002
OE417-2002-0007,2002-07-09 00:00:00,12:27:00,,,California,WSCC,Interruption of Firm Power,,240,1 PG&E,,,,2002,2002
OE417-2002-0008,2002-07-19 00:00:00,11:51:00,,,California,WSCC,Interruption of Firm Power (Unit Tripped),,240,1 PG&E,,,,2002,2002
OE417-2002-0009,2002-07-20 00:00:00,12:40:00,,,New York,NPCC,Fire,,278,63500,,,,2002,2002
OE417-2002-0010,2002-08-02 00:00:00,12:43:00,,,Illinois,MAIN,Interruption of Firm Power,,232,53565,,,,2002,2002
OE417-2002-0011,2002-08-09 00:00:00,08:23:00,,,Florida,SERC,Interruption of Firm Power,,51,25000,,,,2002,2002
OE417-2002-0012,2002-08-25 00:00:00,03:41:00,,,California,WSCC,Interruption of Firm Power,,120,1 PG&E,,,,2002,2002
OE417-2002-0013,2002-08-28 00:00:00,14:09:00,,,Florida,SERC,Severe Weather,,67.6,25000,,,,2002,2002
OE417-2002-0014,2002-10-03 00:00:00,03:33:00,,,Coastal Areas of Southern Louisiana,SPP,Hurricane Lily,,,242910,,,,2002,2002
OE417-2002-0015,2002-11-06 00:00:00,22:00:00,,,Northern and Central California,WSCC,Winter Storm,,270,939000,,,,2002,2002
OE417-2002-0016,2002-11-17 00:00:00,15:48:00,,,"Northport, NY",NPPC,Cable Tripped,,0,0,,,,2002,2002
OE417-2002-0017,2002-11-17 00:00:00,06:00:00,,,Northwest and North Central Connecticut,NPCC,Ice Storm,,,224912,,,,2002,2002
OE417-2002-0018,2002-12-03 00:00:00,18:30:00,,,Arkansas,SPP,Ice Storm,,,43000,,,,2002,2002
OE417-2002-0019,2002-12-11 00:00:00,13:09:00,,,Northern Virginia to Fredericksburg,SERC,Winter Storm,,63,130000,,,,2002,2002
OE417-2002-0020,2002-12-14 00:00:00,11:00:00,,,Northern and Central California,WSCC,Winter Storm,,180,1.5 million,,,,2002,2002
OE417-2002-0021,2002-12-19 00:00:00,06:00:00,,,Northern and Central California,WSCC,Winter Storm,,56,385000,,,,2002,2002
OE417-2002-0022,2002-12-25 00:00:00,17:00:00,,,Eastern Pennsylvania,MAAC,Winter Storm,,250,106000,,,,2002,2002
OE417-2002-0023,2002-12-25 00:00:00,10:00:00,,,"Reading, York, Hanover, Hamburg Pennsylvania",MAAC,Winter Storm,,,95630,,,,2002,2002
OE417-2003-0001,2003-01-25 00:00:00,2:00 p.m.,"1/26/03, 2:00 a.m.",,"Cincinnati, Ohio",ECAR,Cyber Threat From Internet,,,,,,,2003,2003
OE417-2003-0002,2003-02-27 00:00:00,11:32 a.m.,"3/01/03, 8:00 a.m.",,"Piedmont, North Carolina",SERC,Winter Ice Storm,,1000,"over 340,000",,,,2003,2003
OE417-2003-0003,2003-04-03 00:00:00,7:00 p.m.,"4/06/03, 5:00 p.m. ",,Lower Michigan Peninsula ,ECAR,Ice Storm,,300,425000,,,,2003,2003
OE417-2003-0004,2003-04-04 00:00:00,3:11 a.m.,"4/05/03, 2:00 p.m. ",,"New York, ",NPCC,Severe Storm,,200-250,160000,,,,2003,2003
OE417-2003-0005,2003-04-15 00:00:00,11:00 a.m.,"4/15/03, 2:06 p.m. ",,"Cities of Bryan,",ERCOT,Relaying Malfunction,,212,68530,,,,2003,2003
OE417-2003-0006,2003-04-28 00:00:00,3:41 p.m.,"4/29/03, 12:00 noon ",,"County of Waukesha,  Wisconsin, ",MAIN,Vandalism,,0,0,,,,2003,2003
OE417-2003-0007,2003-05-02 00:00:00,5:00 p.m.,"5/04/03, 12:00 noon",,"Piedmont, North and",SERC,Severe Thunderstorms,,1500,139000,,,,2003,2003
OE417-2003-0008,2003-05-02 00:00:00,8:00 p.m.,"5/03/03, 8:00 a.m.",,"Central Georgia,",SERC,Severe Thunderstorms,,130,"102,842 (Georgia)",,,,2003,2003
OE417-2003-0009,2003-05-15 00:00:00,2:52 a.m.,"5/15/03, 3:29 a.m.",,North Texas,ERCOT,Interruption of Firm,,476,192000,,,,2003,2003
OE417-2003-0010,2003-05-15 00:00:00,2:00 p.m.,"6/16/03, 2:00 p.m.",,Upper Michigan Peninsula,MAIN,Flood,,240,2,,,,2003,2003
OE417-2003-0011,2003-06-15 00:00:00,3:12 p.m.,"6/16/03, 5:00 p.m.",,Idaho,WECC,Public Appeal,,0,0,,,,2003,2003
OE417-2003-0012,2003-06-30 00:00:00,1:00 p.m.,"6/30/03, 12:00 a.m. ",,Coastal areas of,SPP,Tropical Storm Bill,,,179299,,,,2003,2003
OE417-2003-0013,2003-07-01 00:00:00,3:15 p.m.,"7/01/03, 3:50 p.m.  ",,"Phoenix, Arizona",WECC,Breaker Failure,,1000,47000,,,,2003,2003
OE417-2003-0014,2003-07-02 00:00:00,1:54 p.m.,"7/02/03, 3:59 p.m. ",,Northern California,WECC,Unit Tripped,,200,1,,,,2003,2003
OE417-2003-0015,2003-07-04 00:00:00,6:00 a.m.,"7/04/03, 10:00 a.m. ",,Southeast Wisconsin,MAIN,Severe Thunderstorms,,150,52000,,,,2003,2003
OE417-2003-0016,2003-07-04 00:00:00,9:00 a.m.,"7/06/03, 4:00 p.m. ",,Lower Michigan Peninsula,ECAR,Severe Thunderstorms,,75-90 ,131000,,,,2003,2003
OE417-2003-0017,2003-07-04 00:00:00,11:41 p.m.,"7/06/03, 9:00 p.m.",,"Southwest Ohio, portions of Indiana",ECAR,Severe Storms,,200,55142,,,,2003,2003
OE417-2003-0018,2003-07-05 00:00:00,3:00 a.m.,"7/05/03, 7:00 a.m. ",,Northern Illinois,MAIN,Severe Storms,,80,130000,,,,2003,2003
OE417-2003-0019,2003-07-07 00:00:00,9:00 a.m.,"7/07/03, 3:00 p.m. ",,Northern Illinois,MAIN,Severe Thunderstorms,,,72000,,,,2003,2003
OE417-2003-0020,2003-07-08 00:00:00,4:00 a.m.,"7/11/03, 4:00 p.m.",,Ohio,ECAR,Severe Thunderstorms,,11000,134500,,,,2003,2003
OE417-2003-0021,2003-07-09 00:00:00,5:14 p.m.,"7/09/03, 7:09 p.m. ",,Northern Central and Eastern Virginia,SERC,Severe Thunderstorms,,120,80000,,,,2003,2003
OE417-2003-0022,2003-07-15 00:00:00,8:24 a.m.,"7/21/03, 10:30 a.m.",,Texas,ERCOT,Hurricane Claudette,,230-300,108000,,,,2003,2003
OE417-2003-0023,2003-07-21 00:00:00,5:15 p.m.,"7/24/03, 5:33 a.m.",,Pennsylvania,MAAC,Severe Storms,,500-1000,185000,,,,2003,2003
OE417-2003-0024,2003-07-28 00:00:00,6:55 p.m.,"7/28/03, 8:35 p.m.",,Arizona,WECC,Breaker Closed,,440,90000,,,,2003,2003
OE417-2003-0025,2003-08-14 00:00:00,Approximately 3:00 p.m.,Approximately ,,Geographic areas for MISO Reliability Coordination footprint:  Michigan and Ohio,ECAR,Unknown *,,"Approx. 18,500 MW, in MISO area:",,,,,2003,2003
OE417-2003-0026,2003-08-14 00:00:00,4:09 p.m.,"8/16/03, 7:00 a.m.",,Southeastern Michigan including all of Detroit,ECAR,Unknown *,,11000,2100000,,,,2003,2003
OE417-2003-0027,2003-08-14 00:00:00,4:09 p.m.,"8/16/03, 1:03 p.m.",,"Southern Lower  Michigan and small areas near Flint, Alma, Saginaw, and Lansing Michigan",ECAR,Unknown *,,1007,101000,,,,2003,2003
OE417-2003-0028,2003-08-14 00:00:00,4:10 p.m.,"8/16/03, 8:27 p.m.",,"Northeast, Ohio",ECAR,Unknown *,,7000,1203000,,,,2003,2003
OE417-2003-0029,2003-08-14 00:00:00,4:10 p.m.,"8/16/03, 3:45 a.m.",,Southwestern Connecticut and a small portion of Western Massachusetts and Vermont,NPCC,Unknown *,,2500,,,,,2003,2003
OE417-2003-0030,2003-08-14 00:00:00,4:10 p.m.,"8/18/03, 12:03 a.m.",,New York State,NPCC,Unknown *,,22934,unknown,,,,2003,2003
OE417-2003-0031,2003-08-14 00:00:00,4:10 p.m.,"8/14/03, 11:48 p.m.",,"New York- Buffalo to Albany; Ontario, Canada to Pennsylvania",NPCC,Unknown *,,,840137,,,,2003,2003
OE417-2003-0032,2003-08-14 00:00:00,4:10 p.m.,Approximately,,"Northern New Jersey Erie, Pennsylvania  area",MAAC,Unknown *,,"4,100 MW (Northern NJ) and 400 MW, (Erie,  PA) area",,,,,2003,2003
OE417-2003-0033,2003-08-14 00:00:00,4:11 p.m.,"8/15/03, 9:03 p.m.",,Entire Con Edison System (five boroughs of NYC and Westchester County),NPCC,Unknown *,,11202,3125350,,,,2003,2003
OE417-2003-0034,2003-08-26 00:00:00,4:00 p.m.,"8/29/03, 12:00 noon",,"Maryland: Anne Arundel County, Baltimore County, Calvert County, Carroll County, Howard County, Montgomery County,  Prince George's and Baltimore City.",MAAC,Severe Thunderstorms,,625,"93,000 at peak 133,000 cumulative",,,,2003,2003
OE417-2003-0035,2003-08-26 00:00:00,4:22 p.m.,"8/31/03, 6:00 p.m.",,"Washington, D.C.,  Montgomery County,  Prince Georges County, Maryland",MAAC,Severe Thunderstorms,,1500,153000,,,,2003,2003
OE417-2003-0036,2003-09-07 00:00:00,5:19 a.m.,"9/07/03, 6:00 p.m.",,Upper Michigan Peninsula,MAIN,Transmission Equipment,,310,4 (industrial),,,,2003,2003
OE417-2003-0037,2003-09-18 00:00:00,8:20 a.m.,"9/29/03, 10:42 p.m.",,"North Eastern North Carolina, Eastern Central , and Northern Virginia",SERC,Hurricane Isabel,,6512,1.8 million,,,,2003,2003
OE417-2003-0038,2003-09-18 00:00:00,11:45 a.m.,"9/18/03, 12:00 midnight",,Eastern North Carolina,SERC,Hurricane Isabel,,peak 1655 ,"peak 320,00 9/18/03 7:00 p.m.",,,,2003,2003
OE417-2003-0039,2003-09-18 00:00:00,12:00 noon,"9/26/03, 10:50 p.m.",,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",MAAC,Hurricane Isabel,,2000,650000,,,,2003,2003
OE417-2003-0040,2003-09-18 00:00:00,2:00 p.m.,"9/24/03, 12:00 midnight",,"Maryland, West Virginia, Virginia and Pennsylvania",MAAC,Hurricane Isabel,,3085,237366,,,,2003,2003
OE417-2003-0041,2003-09-18 00:00:00,3:32 p.m.,"9/19/03, 5:00 p.m.",,Triangle and Tridad (Greensboro – High Point)  Areas North Carolina - Northern Region,SERC,Hurricane Isabel,,500-700,"Under 50,000",,,,2003,2003
OE417-2003-0042,2003-09-18 00:00:00,4:20 p.m.,"9/28/03, 6:00 p.m.",,"District of Columbia, Montgomery and Prince George's Counties, Maryland",MAAC,Hurricane Isabel,,,"Over 530,000 peak on 9/19/03",,,,2003,2003
OE417-2003-0043,2003-09-18 00:00:00,9:00 p.m.,"9/21/03, 5:00 p.m.",,"All PPL including: Williamsport, Harrisburg, Lancaster, Scranton and Allentown areas",MAAC,Hurricane Isabel,,1300,425000,,,,2003,2003
OE417-2003-0044,2003-10-26 00:00:00,1:44 a.m.,"11/18/03, 10:54 a.m. (Trans. Only)",,"San Diego County, California",WECC ,Wild Fire,,,"108,000 (Dist. And Trans. Combined)",,,,2003,2003
OE417-2003-0045,2003-11-05 00:00:00,3:16 p.m.,"11/05/03, 3:54 p.m.",,Maryland/Virginia border,MAAC,Tornado,,350,1,,,,2003,2003
OE417-2003-0046,2003-11-12 00:00:00,5:00 p.m.,"11/16/03, 6:00 p.m.",,Lower Michigan Peninsula,ECAR,Wind Storm,,75-90 ,245000,,,,2003,2003
OE417-2003-0047,2003-11-12 00:00:00,5:00 p.m.,"11/12/03, 7:00 p.m.",,Northern Illinois,MAIN,High Winds,,Est. 371.1,51000,,,,2003,2003
OE417-2003-0048,2003-11-12 00:00:00,6:00 p.m.,"11/16/03, 5:00 p.m.",,Southeastern Michigan,ECAR,Storm with High Winds,,Est. 75,160000,,,,2003,2003
OE417-2003-0049,2003-11-13 00:00:00,6:00 a.m.,"11/16/03, 4:00 p.m.",,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Harford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",MAAC,High Winds,,375,110000,,,,2003,2003
OE417-2003-0050,2003-11-13 00:00:00,7:30 a.m.,"11/14/03, 6:30 a.m.",,New York,NPCC,Storm with High Winds,,Approx. 180,50280,,,,2003,2003
OE417-2003-0051,2003-11-13 00:00:00,11:00 a.m.,"11/14/03, 7:30 a.m.",,"Washington, D.C., Montgomery County, Prince Georges County, Md",MAAC,Major Wind Storm,,Est. 400,"104,195 at 5:23 p.m. 11/13/03",,,,2003,2003
OE417-2003-0052,2003-11-13 00:00:00,1:40 p.m.,"11/13/03, 3:51 p.m.",,"Northern Virginia, Richmond area, Eastern Virginia",SERC,Wind Storm,,300,67000,,,,2003,2003
OE417-2003-0053,2003-12-01 00:00:00,6:16 p.m.,"12/01/03, 8:11 p.m.",,Cape Cod and part of SE Massachusetts,NPCC,Wild Fire – Transmission Equipment,,630,300000,,,,2003,2003
OE417-2003-0054,2003-12-04 00:00:00,7:00 a.m.,"12/08/03, 7:00 a.m.",,Eastern portions of King County and Pierce County,WECC,High Winds,,175,"200,000 (Peak)",,,,2003,2003
OE417-2003-0055,2003-12-04 00:00:00,10:34 p.m.,"12/07/03, 8:30 a.m.",,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,MAIN,Fault on 138 KV line,,650,6 (utilities),,,,2003,2003
OE417-2003-0056,2003-12-04 00:00:00,10:15 p.m.,"12/08/03, 8:30 a.m.",,Upper Peninsula of Michigan and Northeastern Wisconsin,MAIN,Fault on 138 KV line,,500,36000,,,,2003,2003
OE417-2003-0057,2003-12-05 00:00:00,4:49 a.m.,"12/05/03, 6:25 a.m.",,State of Florida - Dade County,FRCC,Transmission Equipment,,27,16500,,,,2003,2003
OE417-2003-0058,2003-12-05 00:00:00,7:00 a.m.,"12/05/03, 8:00 p.m.",,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,MAIN,Transmission Equipment,,14,2,,,,2003,2003
OE417-2003-0059,2003-12-20 00:00:00,3:51 p.m.,"12/21/03, 11:45 p.m.",,"San Francisco, California",WECC,Cable Failure,,150,120000,,,,2003,2003
OE417-2003-0060,2003-12-22 00:00:00,11:15 a.m.,"12/22/03, 11:16 a.m.",,Central California Coast,WECC,Earthquake,,220,109750,,,,2003,2003
