source_system,incident_id,report_date,year,state,system_type,cause_text,type_of_disturbance,customers_affected,fatalities,injuries,property_damage_usd,control_telecom_categories,control_or_telecom_involved
PHMSA,20260196,8/27/2026,2026,,hazardous_liquid,CORROSION FAILURE,CORROSION FAILURE,,0.0,0.0,,not control-system/telecom related,False
PHMSA,20260200,8/30/2026,2026,,hazardous_liquid,EQUIPMENT FAILURE,EQUIPMENT FAILURE,,0.0,0.0,,not control-system/telecom related,False
PHMSA,20260199,8/28/2026,2026,,hazardous_liquid,EQUIPMENT FAILURE,EQUIPMENT FAILURE,,0.0,0.0,,not control-system/telecom related,False
PHMSA,20260188,8/13/2026,2026,,hazardous_liquid,EQUIPMENT FAILURE,EQUIPMENT FAILURE,,0.0,0.0,,not control-system/telecom related,False
PHMSA,20260197,8/27/2026,2026,,hazardous_liquid,CORROSION FAILURE,CORROSION FAILURE,,0.0,0.0,,not control-system/telecom related,False
PHMSA,20260198,8/28/2026,2026,,hazardous_liquid,CORROSION FAILURE,CORROSION FAILURE,,0.0,0.0,,not control-system/telecom related,False
PHMSA,20260191,8/18/2026,2026,,hazardous_liquid,INCORRECT OPERATION,INCORRECT OPERATION,,0.0,0.0,,not control-system/telecom related,False
PHMSA,20260195,8/25/2026,2026,,hazardous_liquid,EQUIPMENT FAILURE,EQUIPMENT FAILURE,,0.0,0.0,,not control-system/telecom related,False
PHMSA,20260194,8/24/2026,2026,,hazardous_liquid,EQUIPMENT FAILURE,EQUIPMENT FAILURE,,0.0,0.0,,not control-system/telecom related,False
PHMSA,20260192,8/19/2026,2026,,hazardous_liquid,EQUIPMENT FAILURE,EQUIPMENT FAILURE,,0.0,0.0,,not control-system/telecom related,False
PHMSA,20260193,8/21/2026,2026,,hazardous_liquid,INCORRECT OPERATION,INCORRECT OPERATION,,0.0,0.0,,not control-system/telecom related,False
PHMSA,20260190,8/18/2026,2026,,hazardous_liquid,OTHER ACCIDENT CAUSE,OTHER ACCIDENT CAUSE,,0.0,0.0,,not control-system/telecom related,False
PHMSA,20260184,8/11/2026,2026,,hazardous_liquid,EQUIPMENT FAILURE,EQUIPMENT FAILURE,,0.0,0.0,,not control-system/telecom related,False
PHMSA,20260185,8/12/2026,2026,,hazardous_liquid,EQUIPMENT FAILURE,EQUIPMENT FAILURE,,0.0,0.0,,not control-system/telecom related,False
PHMSA,20260186,8/12/2026,2026,,hazardous_liquid,EQUIPMENT FAILURE,EQUIPMENT FAILURE,,0.0,0.0,,not control-system/telecom related,False
